127.0.0.1 - - [03/Mar/2017:14:12:06 +0530] "GET / HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [03/Mar/2017:14:12:10 +0530] "GET /shoppingcart/ HTTP/1.1" 200 4896
0:0:0:0:0:0:0:1 - - [03/Mar/2017:14:12:10 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [03/Mar/2017:14:12:11 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.css HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [03/Mar/2017:14:12:11 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [03/Mar/2017:14:12:11 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [03/Mar/2017:14:12:14 +0530] "GET /shoppingcart/clickHome HTTP/1.1" 200 4896
0:0:0:0:0:0:0:1 - - [03/Mar/2017:14:12:14 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.css HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [03/Mar/2017:14:12:14 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [03/Mar/2017:14:12:14 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [03/Mar/2017:14:12:19 +0530] "GET /shoppingcart/clickAbout HTTP/1.1" 200 3845
0:0:0:0:0:0:0:1 - - [03/Mar/2017:14:12:19 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [03/Mar/2017:14:12:19 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [03/Mar/2017:14:12:19 +0530] "GET /shoppingcart/Resources/images/img5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2017:14:12:21 +0530] "GET /shoppingcart/clickAdmin HTTP/1.1" 200 3964
