0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:43:19 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:43:19 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:43:31 +0530] "POST /shoppingcart/addUser HTTP/1.1" 200 5013
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:43:31 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.css HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:43:31 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:43:31 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:43:32 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:43:32 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:44:03 +0530] "GET /shoppingcart/clickProducts HTTP/1.1" 200 1689
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:44:06 +0530] "GET /shoppingcart/clickLogin HTTP/1.1" 200 2797
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:44:06 +0530] "GET /shoppingcart/Resources/JQuery/jquery-3.1.1.min.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:44:06 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:44:06 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:44:06 +0530] "GET /shoppingcart/Resources/JQuery/jquery-3.1.1.min.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:44:06 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:44:06 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:44:16 +0530] "GET /shoppingcart/Login?uname=1&upwd=1234 HTTP/1.1" 500 3730
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:44:16 +0530] "GET /shoppingcart/Login?uname=1&upwd=1234 HTTP/1.1" 500 3730
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:54:45 +0530] "GET /shoppingcart/clickLogin HTTP/1.1" 200 2797
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:54:45 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:54:45 +0530] "GET /shoppingcart/Resources/JQuery/jquery-3.1.1.min.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:54:45 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:54:45 +0530] "GET /shoppingcart/Resources/JQuery/jquery-3.1.1.min.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:54:45 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:54:45 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:54:46 +0530] "GET /shoppingcart/clickLogin HTTP/1.1" 200 2797
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:54:46 +0530] "GET /shoppingcart/Resources/JQuery/jquery-3.1.1.min.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:54:46 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:54:46 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [06/Apr/2017:14:54:46 +0530] "GET /shoppingcart/Resources/JQuery/jquery-3.1.1.min.js HTTP/1.1" 404 1086
